word,letter,public_token,hint,qr_filename,fragment_id
WAVE,A,gIaZZzmihi,🧩 تشوفني في البحر، وتسمعني في الصوت... بس عمرك ما هتعرف تمسكني. 🌊,WAVE-A-1.svg,aa4f1817-409f-4b9f-bbe0-b7e41c2600da
WAVE,V,6nduhqg5-M,🧩 تشوفني في البحر، وتسمعني في الصوت... بس عمرك ما هتعرف تمسكني. 🌊,WAVE-V-2.svg,3b985a22-6e6f-498e-9722-d88bda057223
WAVE,E,sIT_T1uj9k,🧩 تشوفني في البحر، وتسمعني في الصوت... بس عمرك ما هتعرف تمسكني. 🌊,WAVE-E-3.svg,fc5ec6d4-328d-4a69-87e6-a7cb8682df8a
HOPE,H,Jj-SnUGh05,"🧩 لما الدنيا تقفل في وشك، أنا اللي بخليك تقول: ""لسه في أمل"".",HOPE-H-0.svg,f54cc0da-a8b8-46fb-81f1-1e56caf6cc24
HOPE,O,vnLZWk9I8s,"🧩 لما الدنيا تقفل في وشك، أنا اللي بخليك تقول: ""لسه في أمل"".",HOPE-O-1.svg,b85d2773-7d21-476e-a45b-eb8b4f68f203
HOPE,P,TPdvGVeWc2,"🧩 لما الدنيا تقفل في وشك، أنا اللي بخليك تقول: ""لسه في أمل"".",HOPE-P-2.svg,bf9b97c8-dded-46fe-9808-411268b6f338
HOPE,E,FamMlASSAa,"🧩 لما الدنيا تقفل في وشك، أنا اللي بخليك تقول: ""لسه في أمل"".",HOPE-E-3.svg,8a817f15-54af-40d6-866e-75be37f78d25
DOOR,D,cZDI6ai2rT,🧩 واقف قدام أوضة ومش عارف تدخل؟ أكيد في حاجة بينك وبينها.,DOOR-D-0.svg,29362bd9-cb48-4ca9-9d9c-3ed8073eee03
DOOR,O,yqo4gCEfbS,🧩 واقف قدام أوضة ومش عارف تدخل؟ أكيد في حاجة بينك وبينها.,DOOR-O-1.svg,c1cd9aa8-b9bb-4bf5-b3e7-a170bc797967
DOOR,O,psbyzHp221,🧩 واقف قدام أوضة ومش عارف تدخل؟ أكيد في حاجة بينك وبينها.,DOOR-O-2.svg,24b68da1-b407-479b-892b-9f51b2321dbd
DOOR,R,z6E5LIYT0F,🧩 واقف قدام أوضة ومش عارف تدخل؟ أكيد في حاجة بينك وبينها.,DOOR-R-3.svg,af547ea9-d6f4-46fa-af3f-0e2a4720fcff
DREAM,D,lVdqGK0tEo,🧩 ممكن تعيشه وإنت نايم... وممكن تصحى وتفضل نفسك تحققه.,DREAM-D-0.svg,9bec9092-460b-4bf7-a489-604ebd6e3cfc
DREAM,R,627UQoKsCA,🧩 ممكن تعيشه وإنت نايم... وممكن تصحى وتفضل نفسك تحققه.,DREAM-R-1.svg,ca3ec3fb-940d-49b5-b4c3-ce45364f203e
DREAM,E,1ibMWGClG3,🧩 ممكن تعيشه وإنت نايم... وممكن تصحى وتفضل نفسك تحققه.,DREAM-E-2.svg,3e83bc64-edf3-40df-affe-ef47935452d0
DREAM,A,PGpCOS7Kyg,🧩 ممكن تعيشه وإنت نايم... وممكن تصحى وتفضل نفسك تحققه.,DREAM-A-3.svg,01b3c2c0-1162-4c83-8a7c-a9c9dbace7c3
DREAM,M,_C-WF02XyF,🧩 ممكن تعيشه وإنت نايم... وممكن تصحى وتفضل نفسك تحققه.,DREAM-M-4.svg,64e7355f-c32c-4754-9267-ac9416d4cfd0
LIGHT,L,yoq2NSCLJH,🧩 لما الدنيا تضلم ومتبقاش شايف إيدك من رجلك... هتدور عليّا.,LIGHT-L-0.svg,6aca1712-4d8b-4618-af80-273e1dcaeadd
LIGHT,I,HGU3FrV-Rg,🧩 لما الدنيا تضلم ومتبقاش شايف إيدك من رجلك... هتدور عليّا.,LIGHT-I-1.svg,9555bcab-daed-4fc4-b5a6-a2aecb5a8498
LIGHT,G,NVE3FVrXsN,🧩 لما الدنيا تضلم ومتبقاش شايف إيدك من رجلك... هتدور عليّا.,LIGHT-G-2.svg,d12da69a-a4ba-42da-b4c8-37370a5dc89a
LIGHT,H,A-sTPKVJ4o,🧩 لما الدنيا تضلم ومتبقاش شايف إيدك من رجلك... هتدور عليّا.,LIGHT-H-3.svg,07fd0afb-1bc2-4902-acf3-e45cc6a82cfe
LIGHT,T,QBZkFlUs4M,🧩 لما الدنيا تضلم ومتبقاش شايف إيدك من رجلك... هتدور عليّا.,LIGHT-T-4.svg,9f8abbf3-46e0-420d-b52d-0e700f9e8f70
SPACE,S,NXiLKe48PG,🧩 المكان اللي فوقنا، فيه نجوم وكواكب وحاجات لسه محدش عارف آخرها فين. 🚀,SPACE-S-0.svg,deaed683-a05b-4950-b2ff-087ce623f366
SPACE,P,McWsD1KhSa,🧩 المكان اللي فوقنا، فيه نجوم وكواكب وحاجات لسه محدش عارف آخرها فين. 🚀,SPACE-P-1.svg,1378d936-2437-445f-9217-f0f4dfb032b5
SPACE,A,ZHVkYkCgBc,🧩 المكان اللي فوقنا، فيه نجوم وكواكب وحاجات لسه محدش عارف آخرها فين. 🚀,SPACE-A-2.svg,46f18c3b-d4ed-4797-82c5-3436611ddbf4
SPACE,C,PIL0yqLIOO,🧩 المكان اللي فوقنا، فيه نجوم وكواكب وحاجات لسه محدش عارف آخرها فين. 🚀,SPACE-C-3.svg,4e6322d7-64c8-4975-9c71-71ef97121879
SPACE,E,i-j6zwNeFT,🧩 المكان اللي فوقنا، فيه نجوم وكواكب وحاجات لسه محدش عارف آخرها فين. 🚀,SPACE-E-4.svg,2aa55482-3ca7-4767-8aa5-aa91e264125f
MAGIC,M,Ft9NirXSBf,🧩 معايا المستحيل عادي جدًا... بس متدورش عليّا في كتاب الفيزياء. ✨,MAGIC-M-0.svg,d1605c2d-cc2f-47c8-8b4c-02c5c6b9f7d7
MAGIC,A,pCTV7v_JV3,🧩 معايا المستحيل عادي جدًا... بس متدورش عليّا في كتاب الفيزياء. ✨,MAGIC-A-1.svg,c6e0bc2d-a26c-4b83-bc14-77c5f9d75b91
MAGIC,G,b4Df_9RaqM,🧩 معايا المستحيل عادي جدًا... بس متدورش عليّا في كتاب الفيزياء. ✨,MAGIC-G-2.svg,72f08982-41f8-4894-b4a1-d5d697bf1c59
MAGIC,I,1uGCbUwbMv,🧩 معايا المستحيل عادي جدًا... بس متدورش عليّا في كتاب الفيزياء. ✨,MAGIC-I-3.svg,28bbb45f-cfa6-4903-9d04-a94b5ec86b88
MAGIC,C,Tql8lvDGmE,🧩 معايا المستحيل عادي جدًا... بس متدورش عليّا في كتاب الفيزياء. ✨,MAGIC-C-4.svg,f49d202e-fefc-42e9-a29e-309974e39fd3
QUEST,Q,30tviVb4z3,🧩 عندك مهمة، قدامك طريق، وفي الآخر مستنيك هدف... هتبدأ الرحلة؟,QUEST-Q-0.svg,2f340dd2-5ba7-43fd-a255-f60e2acc53f4
QUEST,U,MahDhsqreP,🧩 عندك مهمة، قدامك طريق، وفي الآخر مستنيك هدف... هتبدأ الرحلة؟,QUEST-U-1.svg,4ebdd8cb-371d-407a-adfd-a8932ed9bd3a
QUEST,E,UoPXj9mmwp,🧩 عندك مهمة، قدامك طريق، وفي الآخر مستنيك هدف... هتبدأ الرحلة؟,QUEST-E-2.svg,1678bb23-9f71-4b75-b142-84f42324c8b9
QUEST,S,A5wEFktoh-,🧩 عندك مهمة، قدامك طريق، وفي الآخر مستنيك هدف... هتبدأ الرحلة؟,QUEST-S-3.svg,1df0a168-a5a4-417a-a90e-dfacaffbf893
QUEST,T,HXDdFMI8oE,🧩 عندك مهمة، قدامك طريق، وفي الآخر مستنيك هدف... هتبدأ الرحلة؟,QUEST-T-4.svg,6fed438d-562d-45c4-9caa-d1d69fcb7331
HEART,H,-y_5yaWOUh,🧩 بدق جواك طول الوقت، والغريبة إنك بتحب ترسمني لما تتكلم عن الحب. ❤️,HEART-H-0.svg,e5fa9739-4ef0-4a14-8006-094ce77f4765
HEART,E,QMlBbM7KP2,🧩 بدق جواك طول الوقت، والغريبة إنك بتحب ترسمني لما تتكلم عن الحب. ❤️,HEART-E-1.svg,f824f015-de06-4dc8-9ac6-0adc9e9a609a
HEART,A,MczqRTsUE6,🧩 بدق جواك طول الوقت، والغريبة إنك بتحب ترسمني لما تتكلم عن الحب. ❤️,HEART-A-2.svg,4e3b3899-0a93-49f7-bc83-c4b9cd2bd7a5
HEART,R,zRJdiP3WRO,🧩 بدق جواك طول الوقت، والغريبة إنك بتحب ترسمني لما تتكلم عن الحب. ❤️,HEART-R-3.svg,38dc0ac9-2350-4a2f-96db-a4e75e007a25
HEART,T,gYbsEna15d,🧩 بدق جواك طول الوقت، والغريبة إنك بتحب ترسمني لما تتكلم عن الحب. ❤️,HEART-T-4.svg,4355f2fe-a715-4490-95b2-cd94244efd58
WORLD,W,DwEEB-Qn02,🧩 كل يوم بتعيش فيه، وكل اللي حواليك، وممكن كمان تقصد بيه الكوكب كله. 🌍,WORLD-W-0.svg,c96182cf-6afd-4878-a5a5-8fd9d8a67a94
WORLD,O,S1APtsAcrz,🧩 كل يوم بتعيش فيه، وكل اللي حواليك، وممكن كمان تقصد بيه الكوكب كله. 🌍,WORLD-O-1.svg,2de59f31-7e3c-42c2-b359-f473fd1ef69c
WORLD,R,1niW7DMpJ7,🧩 كل يوم بتعيش فيه، وكل اللي حواليك، وممكن كمان تقصد بيه الكوكب كله. 🌍,WORLD-R-2.svg,938bb008-d0b0-4249-a5b4-3b3fdfa3d45d
WORLD,L,Bpc4jQRX1I,🧩 كل يوم بتعيش فيه، وكل اللي حواليك، وممكن كمان تقصد بيه الكوكب كله. 🌍,WORLD-L-3.svg,f31e3bef-60e6-41af-8bc4-f951627b520e
WORLD,D,i5luKOqobh,🧩 كل يوم بتعيش فيه، وكل اللي حواليك، وممكن كمان تقصد بيه الكوكب كله. 🌍,WORLD-D-4.svg,e564fe76-8781-4337-9a43-012dea9202d8
FLAME,F,2VI6efnljc,🧩 بص كويس فوق الشمعة... إيه اللي بيرقص من غير موسيقى؟,FLAME-F-0.svg,01376b61-2a2c-46bc-9538-648bde1f47f0
FLAME,L,LV9qdmC26J,🧩 بص كويس فوق الشمعة... إيه اللي بيرقص من غير موسيقى؟,FLAME-L-1.svg,380198b4-99d8-46e0-a725-8172ad044ac2
FLAME,A,vKbXvkWkqM,🧩 بص كويس فوق الشمعة... إيه اللي بيرقص من غير موسيقى؟,FLAME-A-2.svg,8be33fa3-6fd5-4d05-84a7-8d798d182716
FLAME,M,jkY9JOtxmN,🧩 بص كويس فوق الشمعة... إيه اللي بيرقص من غير موسيقى؟,FLAME-M-3.svg,240ed139-a3e8-4ca6-9309-cd122ba08207
FLAME,E,IWIJm9NDhT,🧩 بص كويس فوق الشمعة... إيه اللي بيرقص من غير موسيقى؟,FLAME-E-4.svg,0a4f12b6-7917-437d-b7a0-d241b66aac16
PUZZLE,P,tYWh4BHg_D,🧩 أديك حتت ملهاش لازمة لوحدها، اجمعهم صح وهتعرف الصورة. 🧩,PUZZLE-P-0.svg,af399ce4-ea86-44b9-9cae-416e677c425b
PUZZLE,U,6U4NolaG6L,🧩 أديك حتت ملهاش لازمة لوحدها، اجمعهم صح وهتعرف الصورة. 🧩,PUZZLE-U-1.svg,aeea77d1-3078-4761-b581-5abeee6096f0
PUZZLE,Z,bMNzxjJLMn,🧩 أديك حتت ملهاش لازمة لوحدها، اجمعهم صح وهتعرف الصورة. 🧩,PUZZLE-Z-2.svg,933d3164-d115-45c9-8e5c-21a17f0d6d8a
PUZZLE,Z,-OBrISuudG,🧩 أديك حتت ملهاش لازمة لوحدها، اجمعهم صح وهتعرف الصورة. 🧩,PUZZLE-Z-3.svg,880394d2-e5d4-462b-88c1-4d36c086cc01
PUZZLE,L,1UQP6gq-SI,🧩 أديك حتت ملهاش لازمة لوحدها، اجمعهم صح وهتعرف الصورة. 🧩,PUZZLE-L-4.svg,b9095532-9c2e-458c-b2d9-e9aa65b1547f
PUZZLE,E,vEVYYb9QsZ,🧩 أديك حتت ملهاش لازمة لوحدها، اجمعهم صح وهتعرف الصورة. 🧩,PUZZLE-E-5.svg,9c002080-06c4-41fd-93c6-8fb13f57b499
SECRET,S,-FDAj4uUJQ,🧩 أول ما كل الناس تعرفني... مبقاش ليّا لازمة. 🤫,SECRET-S-0.svg,ed52dea6-d74c-4d91-be2a-c4acfa41f714
SECRET,E,nR4Roc8mJ0,🧩 أول ما كل الناس تعرفني... مبقاش ليّا لازمة. 🤫,SECRET-E-1.svg,29f64aa3-f614-4fe5-a524-f6da9a101c8c
SECRET,C,5uuED-hwte,🧩 أول ما كل الناس تعرفني... مبقاش ليّا لازمة. 🤫,SECRET-C-2.svg,dbc5bc95-c879-4a8c-9cb2-1a44bb9b212f
SECRET,R,qYGXKEhXQ9,🧩 أول ما كل الناس تعرفني... مبقاش ليّا لازمة. 🤫,SECRET-R-3.svg,c191147c-10b9-473d-860d-f6eced5323e1
SECRET,E,JF4tSCAY8u,🧩 أول ما كل الناس تعرفني... مبقاش ليّا لازمة. 🤫,SECRET-E-4.svg,f7764efe-7c77-40d7-a896-f2bbed282997
SECRET,T,C63YtW4jxn,🧩 أول ما كل الناس تعرفني... مبقاش ليّا لازمة. 🤫,SECRET-T-5.svg,b1158360-e3fa-42e2-abab-5acb866b9c72
FUTURE,F,egD-_4vN2l,🧩 لسه مجتش، وكل ما تستناها شوية تبقى حاضر.,FUTURE-F-0.svg,af0f7c2a-b217-44af-a2a7-6bc906d0a5ff
FUTURE,U,wdVknwfwwm,🧩 لسه مجتش، وكل ما تستناها شوية تبقى حاضر.,FUTURE-U-1.svg,da373c3d-8e06-4e20-b19a-fcecb190b4bb
FUTURE,T,lUbKW-S6ES,🧩 لسه مجتش، وكل ما تستناها شوية تبقى حاضر.,FUTURE-T-2.svg,487087cb-cec1-43c7-aa5c-6520668c6e7f
FUTURE,U,L5VzIUGUL3,🧩 لسه مجتش، وكل ما تستناها شوية تبقى حاضر.,FUTURE-U-3.svg,2ac621dd-fb1a-4ca9-a011-34e5840ee60c
FUTURE,R,08E0XcnibM,🧩 لسه مجتش، وكل ما تستناها شوية تبقى حاضر.,FUTURE-R-4.svg,394de9d2-5696-43df-9cc3-3904180a4662
FUTURE,E,4u9RZhsWYv,🧩 لسه مجتش، وكل ما تستناها شوية تبقى حاضر.,FUTURE-E-5.svg,18e9de7b-39c2-40ee-a6f9-b414c9c9c128
HIDDEN,H,mNOBXZSXcv,🧩 أنا موجود فعلًا... بس لو عرفت مكاني، يبقى أنا مش شاطر في شغلي. 👀,HIDDEN-H-0.svg,87195054-459e-4cb1-be2e-bd5d781d54e6
HIDDEN,I,JbEue9mzOZ,🧩 أنا موجود فعلًا... بس لو عرفت مكاني، يبقى أنا مش شاطر في شغلي. 👀,HIDDEN-I-1.svg,9f4eed70-696e-40ac-ae65-695922ea3aec
HIDDEN,D,ezFccdedmU,🧩 أنا موجود فعلًا... بس لو عرفت مكاني، يبقى أنا مش شاطر في شغلي. 👀,HIDDEN-D-2.svg,0b53d6a3-0850-4ad4-aa9d-7d7906945fe9
HIDDEN,D,cjUG_x6ite,🧩 أنا موجود فعلًا... بس لو عرفت مكاني، يبقى أنا مش شاطر في شغلي. 👀,HIDDEN-D-3.svg,c9c0431b-5613-4642-afc3-ebda18d12052
HIDDEN,E,p4Sakdr4O0,🧩 أنا موجود فعلًا... بس لو عرفت مكاني، يبقى أنا مش شاطر في شغلي. 👀,HIDDEN-E-4.svg,d21efbd9-63b9-4e31-8508-e9d0e05ed72d
HIDDEN,N,_ePSj5Zos2,🧩 أنا موجود فعلًا... بس لو عرفت مكاني، يبقى أنا مش شاطر في شغلي. 👀,HIDDEN-N-5.svg,b7cda374-6337-48d7-a99a-44b545aeff8b
